Feature,Importance,Importance_Percentage
num__EXT_SOURCE_MEAN,0.07496005,7.496006
num__EXT_SOURCE_MIN,0.020583395,2.0583396
num__EXT_SOURCE_MAX,0.017452732,1.7452734
cat__NAME_EDUCATION_TYPE_Higher education,0.013476573,1.3476574
cat__CODE_GENDER_M,0.011252774,1.1252775
num__FLAG_DOCUMENT_3,0.009753542,0.9753543
cat__CODE_GENDER_F,0.0089490125,0.89490134
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.008724168,0.8724169
num__CNT_DRAWINGS_CURRENT_MEAN,0.008406599,0.84066
cat__FLAG_OWN_CAR_N,0.008164043,0.81640434
num__APPROVAL_RATIO,0.007863381,0.7863382
cat__FLAG_OWN_CAR_Y,0.007563773,0.75637734
num__EMPLOYED_YEARS,0.0074076303,0.74076307
num__AMT_GOODS_PRICE,0.0074041937,0.74041945
num__MAX_OVERDUE_AMOUNT,0.007250934,0.7250934
num__MEAN_PAYMENT_RATIO,0.007154041,0.71540415
num__DEBT_CREDIT_RATIO,0.006674238,0.66742384
num__EXT_SOURCE_3,0.006570926,0.65709263
cat__NAME_INCOME_TYPE_Working,0.0065496033,0.6549604
num__REGION_RATING_CLIENT_W_CITY,0.0062020067,0.6202007
cat__NAME_FAMILY_STATUS_Married,0.006193558,0.61935586
cat__OCCUPATION_TYPE_Core staff,0.006121482,0.6121482
num__AGE_YEARS,0.006088962,0.60889626
num__AMT_BALANCE_MEAN,0.0060557625,0.6055763
num__APPROVED_COUNT,0.006027304,0.60273045
num__DEF_30_CNT_SOCIAL_CIRCLE,0.0059629683,0.5962969
num__DEF_60_CNT_SOCIAL_CIRCLE,0.005879762,0.5879763
cat__NAME_CONTRACT_TYPE_Cash loans,0.00582404,0.5824041
num__EXT_SOURCE_PROD,0.005726709,0.57267094
num__AMT_CREDIT,0.0056676334,0.5667634
num__FLOORSMAX_MEDI,0.0055214516,0.5521452
num__AMT_ANNUITY,0.0054642167,0.5464217
cat__NAME_INCOME_TYPE_State servant,0.0054536313,0.5453632
num__REG_CITY_NOT_LIVE_CITY,0.0053383852,0.53383857
num__EMPLOYED_AGE_RATIO,0.005260991,0.52609915
num__AMT_CREDIT_SUM_OVERDUE,0.0052262046,0.5226205
num__SK_DPD_DEF_MAX,0.0052113766,0.5211377
cat__OCCUPATION_TYPE_Low-skill Laborers,0.0051770285,0.5177029
cat__OCCUPATION_TYPE_Waiters/barmen staff,0.005057718,0.5057719
num__ACTIVE_LOAN_COUNT,0.005055099,0.5055099
cat__ORGANIZATION_TYPE_Self-employed,0.005023014,0.50230145
num__AMT_DRAWINGS_CURRENT_MEAN,0.0049186973,0.49186978
num__ACTIVE_LOAN_RATIO,0.0048640687,0.48640692
num__RECENT_ACTIVE_LOAN_COUNT,0.0048479135,0.4847914
num__OVERDUE_RATIO,0.004822336,0.48223367
cat__ORGANIZATION_TYPE_Transport: type 3,0.0047415737,0.47415742
num__DAYS_BIRTH,0.0047212625,0.4721263
num__REFUSED_COUNT,0.0047167074,0.47167078
num__MAX_PAYMENT_DELAY,0.004707984,0.47079846
num__AMT_PAYMENT_TOTAL_CURRENT_SUM,0.004676914,0.46769142
num__AMT_REQ_CREDIT_BUREAU_QRT,0.004615714,0.46157143
num__APP_CREDIT_DIFF,0.004597427,0.45974272
cat__ORGANIZATION_TYPE_Military,0.0045712553,0.45712557
num__EXT_SOURCE_1,0.004474528,0.44745287
num__ELEVATORS_MEDI,0.0044701053,0.44701058
num__EXT_SOURCE_STD,0.004437913,0.44379136
cat__ORGANIZATION_TYPE_Trade: type 7,0.004387435,0.43874356
cat__ORGANIZATION_TYPE_School,0.0043724515,0.4372452
cat__ORGANIZATION_TYPE_Security,0.0043611303,0.4361131
num__MOST_RECENT_CREDIT,0.0043479237,0.4347924
cat__ORGANIZATION_TYPE_Construction,0.004302512,0.43025124
num__FLOORSMAX_AVG,0.0042901267,0.42901272
"cat__WALLSMATERIAL_MODE_Stone, brick",0.00424462,0.42446205
num__REG_CITY_NOT_WORK_CITY,0.004220048,0.42200485
num__SK_DPD_MAX,0.0041868626,0.4186863
cat__OCCUPATION_TYPE_Accountants,0.004139456,0.41394565
num__SK_DPD_DEF_MEAN,0.004114293,0.41142935
num__EXT_SOURCE_2,0.004111406,0.41114065
cat__ORGANIZATION_TYPE_University,0.0041073803,0.41073808
cat__ORGANIZATION_TYPE_Business Entity Type 1,0.0040920363,0.40920368
num__AMT_CREDIT_SUM_DEBT,0.004079997,0.40799975
num__AMT_REQ_CREDIT_BUREAU_DAY,0.0040643048,0.4064305
cat__NAME_CONTRACT_TYPE_Revolving loans,0.0040449305,0.4044931
num__ANNUITY_INCOME_RATIO,0.004026514,0.40265146
cat__NAME_TYPE_SUITE_Children,0.0040190876,0.40190881
num__SK_DPD_MEAN,0.00401148,0.40114805
num__CREDIT_INCOME_RATIO,0.0040027574,0.4002758
num__AMT_BALANCE_MAX,0.003982115,0.39821154
num__FLAG_DOCUMENT_18,0.0039796336,0.3979634
num__AMT_CREDIT_LIMIT_ACTUAL_MEAN,0.003979451,0.39794514
num__LATE_PAYMENT_COUNT,0.003966195,0.39661956
